Ethereum Historical Data - Investing.com(1)
Date;Price
Sep 08, 2021;3,222.41
Sep 07, 2021;3,423.12
Sep 06, 2021;3,927.21
Sep 05, 2021;3,950.62
Sep 04, 2021;3,884.97
Sep 03, 2021;3,936.29
Sep 02, 2021;3,786.19
Sep 01, 2021;3,832.73
Aug 31, 2021;3,430.74
Aug 30, 2021;3,225.67
Aug 29, 2021;3,222.16
Aug 28, 2021;3,243.90
Aug 27, 2021;3,273.58
Aug 26, 2021;3,093.54
Aug 25, 2021;3,228.15
Aug 24, 2021;3,173.26
Aug 23, 2021;3,319.49
Aug 22, 2021;3,238.70
Aug 21, 2021;3,223.96
Aug 20, 2021;3,284.21
Aug 19, 2021;3,184.82
Aug 18, 2021;3,016.91
Aug 17, 2021;3,014.58
Aug 16, 2021;3,147.65
Aug 15, 2021;3,308.87
Aug 14, 2021;3,264.69
Aug 13, 2021;3,322.43
Aug 12, 2021;3,043.61
Aug 11, 2021;3,163.66
Aug 10, 2021;3,140.71
Aug 09, 2021;3,162.93
Aug 08, 2021;3,012.07
Aug 07, 2021;3,158.00
Aug 06, 2021;2,889.43
Aug 05, 2021;2,827.21
Aug 04, 2021;2,725.29
Aug 03, 2021;2,506.65
Aug 02, 2021;2,608.04
Aug 01, 2021;2,556.23
Jul 31, 2021;2,532.19
Jul 30, 2021;2,460.95
Jul 29, 2021;2,380.93
Jul 28, 2021;2,299.11
Jul 27, 2021;2,300.22
Jul 26, 2021;2,229.53
Jul 25, 2021;2,189.79
Jul 24, 2021;2,151.85
Jul 23, 2021;2,123.61
Jul 22, 2021;2,024.58
Jul 21, 2021;1,994.49
Jul 20, 2021;1,786.07
Jul 19, 2021;1,818.07
Jul 18, 2021;1,892.42
Jul 17, 2021;1,897.98
Jul 16, 2021;1,878.20
Jul 15, 2021;1,917.21
Jul 14, 2021;1,994.64
Jul 13, 2021;1,940.72
Jul 12, 2021;2,035.09
Jul 11, 2021;2,139.35
Jul 10, 2021;2,111.12
Jul 09, 2021;2,145.89
Jul 08, 2021;2,120.22
Jul 07, 2021;2,316.57
Jul 06, 2021;2,322.72
Jul 05, 2021;2,196.16
Jul 04, 2021;2,323.22
Jul 03, 2021;2,224.70
Jul 02, 2021;2,154.78
Jul 01, 2021;2,109.11
Jun 30, 2021;2,273.84
Jun 29, 2021;2,158.71
Jun 28, 2021;2,083.09
Jun 27, 2021;1,979.88
Jun 26, 2021;1,830.62
Jun 25, 2021;1,810.57
Jun 24, 2021;1,989.14
Jun 23, 2021;1,968.39
Jun 22, 2021;1,876.66
Jun 21, 2021;1,891.18
Jun 20, 2021;2,243.86
Jun 19, 2021;2,166.91
Jun 18, 2021;2,229.53
Jun 17, 2021;2,371.62
Jun 16, 2021;2,367.28
Jun 15, 2021;2,543.83
Jun 14, 2021;2,581.48
Jun 13, 2021;2,508.27
Jun 12, 2021;2,368.47
Jun 11, 2021;2,351.45
Jun 10, 2021;2,469.97
Jun 09, 2021;2,606.23
Jun 08, 2021;2,510.65
Jun 07, 2021;2,592.63
Jun 06, 2021;2,713.66
Jun 05, 2021;2,628.98
Jun 04, 2021;2,686.50
Jun 03, 2021;2,853.35
Jun 02, 2021;2,706.10
Jun 01, 2021;2,633.67
May 31, 2021;2,708.47
May 30, 2021;2,386.10
May 29, 2021;2,276.07
May 28, 2021;2,414.29
May 27, 2021;2,735.88
May 26, 2021;2,884.66
May 25, 2021;2,705.09
May 24, 2021;2,646.79
May 23, 2021;2,101.34
May 22, 2021;2,291.60
May 21, 2021;2,433.11
May 20, 2021;2,777.55
May 19, 2021;2,435.69
May 18, 2021;3,377.55
May 17, 2021;3,279.68
May 16, 2021;3,582.12
May 15, 2021;3,641.65
May 14, 2021;4,075.38
May 13, 2021;3,719.62
May 12, 2021;3,811.77
May 11, 2021;4,167.78
May 10, 2021;3,947.90
May 09, 2021;3,922.23
May 08, 2021;3,905.55
May 07, 2021;3,481.22
