,Type,Punk,From,To,Amount,Txn
0,Offered,1000,,,10KΞ ($37.78M),"Sep 02, 2021"
1,Offered,1000,,,1KΞ ($3.78M),"Sep 02, 2021"
2,Offered,1000,,,2.22KΞ ($8.41M),"Sep 02, 2021"
3,Offered,1000,,,2.1KΞ ($7.78M),"Sep 01, 2021"
4,Bid Withdrawn,1000,0x20cf73,,400Ξ ($1.27M),"Aug 30, 2021"
5,Bid,1000,0x20cf73,,400Ξ ($1.27M),"Aug 30, 2021"
6,Offered,1000,,,1KΞ ($3.17M),"Aug 30, 2021"
7,Sold,1000,NFTcrypt…,millenni…,"150Ξ ($482,415)","Aug 29, 2021"
8,Offered,1000,,,"150Ξ ($482,415)","Aug 29, 2021"
9,Offered,1000,,,"160Ξ ($511,952)","Aug 29, 2021"
10,Offered,1000,,,"170Ξ ($543,949)","Aug 29, 2021"
11,Offered,1000,,,"180Ξ ($574,636)","Aug 29, 2021"
12,Offered,1000,,,"210Ξ ($676,012)","Aug 29, 2021"
13,Offered,1000,,,"222Ξ ($726,994)","Aug 29, 2021"
14,Offered,1000,,,"250Ξ ($809,878)","Aug 28, 2021"
15,Offered,1000,,,333Ξ ($1.08M),"Aug 28, 2021"
16,Offered,1000,,,1KΞ ($3.22M),"Aug 28, 2021"
17,Offered,1000,,,500Ξ ($1.61M),"Aug 28, 2021"
18,Offered,1000,,,333Ξ ($1.08M),"Aug 28, 2021"
19,Offered,1000,,,"185Ξ ($606,363)","Aug 27, 2021"
20,Offered,1000,,,1KΞ ($3.24M),"Aug 24, 2021"
21,Offered,1000,,,"199Ξ ($658,001)","Aug 23, 2021"
22,Offered,1000,,,"200Ξ ($647,104)","Aug 21, 2021"
23,Transfer,1000,0xdef8cc,NFTcrypt…,,"Aug 20, 2021"
24,Transfer,1000,0x190378,0xdef8cc,,"Aug 20, 2021"
25,Offered,1000,,,"100Ξ ($312,591)","Aug 10, 2021"
26,Offered,1000,,,"75Ξ ($237,281)","Aug 09, 2021"
27,Offered,1000,,,"90Ξ ($264,531)","Aug 09, 2021"
28,Sold,1000,0x1b64c2,0x190378,"44.90Ξ ($121,837)","Aug 04, 2021"
29,Offered,1000,,,"44.90Ξ ($118,947)","Aug 01, 2021"
30,Offer Withdrawn,1000,,,,"Aug 01, 2021"
31,Offered,1000,,,"44Ξ ($113,563)","Aug 01, 2021"
32,Offer Withdrawn,1000,,,,"Aug 01, 2021"
33,Offered,1000,,,"45Ξ ($123,170)","May 20, 2021"
34,Transfer,1000,0xdfc055,0x1b64c2,,"May 20, 2021"
35,Transfer,1000,0x045436,0xdfc055,,"Jan 02, 2021"
36,Offer Withdrawn,1000,,,,"Jan 02, 2021"
37,Offered,1000,,,"45Ξ ($21,377)","Nov 19, 2020"
38,Sold,1000,jmg,0x045436,"9.99Ξ ($3,535)","Sep 06, 2020"
39,Offered,1000,,,"9.99Ξ ($3,535)","Sep 06, 2020"
40,Offer Withdrawn,1000,,,,"May 18, 2020"
41,Offered,1000,,,"10Ξ ($1,971)","Apr 26, 2020"
42,Offered,1000,,,"7.99Ξ ($1,791)","Feb 29, 2020"
43,Offer Withdrawn,1000,,,,"Jan 18, 2020"
44,Offered,1000,,,"8Ξ ($1,364)","Jan 17, 2020"
45,Bid,1000,j1mmy,,<0.01Ξ ($0),"Jan 16, 2020"
46,Bid Withdrawn,1000,natealex,,2.50Ξ ($359),"Jan 11, 2020"
47,Offer Withdrawn,1000,,,,"Jan 10, 2020"
48,Bid,1000,natealex,,2.50Ξ ($359),"Jan 10, 2020"
49,Offered,1000,,,3.75Ξ ($521),"Jan 09, 2020"
50,Offered,1000,,,4.65Ξ ($668),"Jan 07, 2020"
51,Offer Withdrawn,1000,,,,"Jan 04, 2020"
52,Offered,1000,,,3.85Ξ ($508),"Jan 01, 2020"
53,Offered,1000,,,5Ξ ($625),"Dec 28, 2019"
54,Offered,1000,,,3.65Ξ ($606),"Sep 26, 2019"
55,Offered,1000,,,3.75Ξ ($708),"Sep 14, 2019"
56,Offered,1000,,,"4.75Ξ ($1,212)","Jun 13, 2019"
