,Type,Punk,From,To,Amount,Txn
0,Offered,3000,,,300Ξ ($1.05M),"May 17, 2021"
1,Sold,3000,0x65ba4f,0x6b1297,"13.85Ξ ($26,554)","Feb 20, 2021"
2,Offered,3000,,,"13.85Ξ ($26,554)","Feb 20, 2021"
3,Sold,3000,0xb1a875,0x65ba4f,"12Ξ ($23,038)","Feb 19, 2021"
4,Offered,3000,,,"12Ξ ($23,038)","Feb 19, 2021"
5,Offered,3000,,,"30Ξ ($52,045)","Feb 16, 2021"
6,Sold,3000,0xa3cb30,0xb1a875,"7.10Ξ ($12,440)","Feb 11, 2021"
7,Offered,3000,,,"7.10Ξ ($12,831)","Feb 10, 2021"
8,Transfer,3000,0x00bd9f,0xa3cb30,,"Mar 07, 2018"
9,Claimed,3000,,0x00bd9f,,"Jun 23, 2017"
0,Sold,3001,0x5f5df4,0x1a1824,"23.99Ξ ($42,879)","Mar 15, 2021"
1,Bid,3001,0x1a1824,,"23.99Ξ ($44,617)","Mar 15, 2021"
2,Offered,3001,,,"24.99Ξ ($44,541)","Mar 11, 2021"
3,Transfer,3001,0xa3cb30,0x5f5df4,,"Mar 06, 2021"
4,Offered,3001,,,"23.50Ξ ($35,981)","Mar 05, 2021"
5,Transfer,3001,0x00bd9f,0xa3cb30,,"Mar 07, 2018"
6,Claimed,3001,,0x00bd9f,,"Jun 23, 2017"
0,Bid,3002,0xc7c6b9,,<0.01Ξ ($<0.01),"Dec 16, 2020"
1,Sold,3002,Cyborg,0xde03d3,0.20Ξ ($41),"Nov 13, 2018"
2,Offered,3002,,,0.20Ξ ($44),"Oct 03, 2018"
3,Offered,3002,,,1Ξ ($486),"Mar 26, 2018"
4,Sold,3002,0xd8e806,Cyborg,0.18Ξ ($55),"Aug 12, 2017"
5,Offered,3002,,,0.18Ξ ($55),"Aug 12, 2017"
6,Offer Withdrawn,3002,,,,"Aug 10, 2017"
7,Offered,3002,,,0.30Ξ ($89),"Aug 09, 2017"
8,Offered,3002,,,0.35Ξ ($104),"Aug 08, 2017"
9,Offer Withdrawn,3002,,,,"Aug 02, 2017"
10,Offered,3002,,,0.34Ξ ($77),"Aug 01, 2017"
11,Offered,3002,,,0.35Ξ ($79),"Aug 01, 2017"
12,Bid Withdrawn,3002,juggerna…,,0.16Ξ ($31),"Jul 19, 2017"
13,Sold,3002,0xbc081c,0xd8e806,0.30Ξ ($58),"Jul 19, 2017"
14,Offered,3002,,,0.30Ξ ($58),"Jul 19, 2017"
15,Bid,3002,juggerna…,,0.16Ξ ($36),"Jul 18, 2017"
16,Claimed,3002,,0xbc081c,,"Jun 23, 2017"
0,(Wrap),3003,0xa5f05c,WrappedC…,,"Aug 28, 2021"
1,Transfer,3003,0x650dcd,0xa5f05c,,"Aug 28, 2021"
2,Transfer,3003,0x24e267,0x650dcd,,"Aug 28, 2021"
3,Transfer,3003,0x650dcd,0x24e267,,"Aug 07, 2021"
4,Sold,3003,0xc88908,0x650dcd,"25.49Ξ ($62,244)","Jul 30, 2021"
5,Bid Withdrawn,3003,wookie.e…,,"22.50Ξ ($76,402)","May 04, 2021"
6,Bid,3003,wookie.e…,,"22.50Ξ ($76,402)","May 04, 2021"
7,Offered,3003,,,"25.49Ξ ($49,417)","Mar 31, 2021"
8,Offered,3003,,,"44Ξ ($67,203)","Feb 23, 2021"
9,Sold,3003,pablopun…,0xc88908,"24.50Ξ ($37,420)","Feb 23, 2021"
10,Offered,3003,,,"24.50Ξ ($47,004)","Feb 22, 2021"
11,Offer Withdrawn,3003,,,,"Jan 23, 2021"
12,Offered,3003,,,"7Ξ ($2,422)","Sep 24, 2020"
13,Offered,3003,,,"4Ξ ($1,437)","Sep 13, 2020"
14,Offered,3003,,,3Ξ ($641),"May 28, 2020"
15,Transfer,3003,0xd8e806,pablopun…,,"Jun 17, 2018"
16,Offered,3003,,,0.20Ξ ($230),"Jan 20, 2018"
17,Offer Withdrawn,3003,,,,"Dec 13, 2017"
18,Offered,3003,,,0.20Ξ ($61),"Oct 31, 2017"
19,Offer Withdrawn,3003,,,,"Aug 14, 2017"
20,Offered,3003,,,0.20Ξ ($62),"Aug 12, 2017"
21,Offer Withdrawn,3003,,,,"Aug 10, 2017"
22,Offered,3003,,,0.30Ξ ($89),"Aug 09, 2017"
23,Offered,3003,,,0.35Ξ ($103),"Aug 09, 2017"
24,Offer Withdrawn,3003,,,,"Aug 02, 2017"
25,Offered,3003,,,0.34Ξ ($77),"Aug 01, 2017"
26,Offered,3003,,,0.35Ξ ($79),"Aug 01, 2017"
27,Sold,3003,0xbc081c,0xd8e806,0.30Ξ ($58),"Jul 19, 2017"
28,Offered,3003,,,0.30Ξ ($58),"Jul 19, 2017"
29,Claimed,3003,,0xbc081c,,"Jun 23, 2017"
0,Transfer,3004,0x99e0ac,0x6d9194,,"Aug 05, 2021"
1,Offered,3004,,,"80Ξ ($209,618)","Aug 04, 2021"
2,Offered,3004,,,"52.15Ξ ($129,672)","Aug 03, 2021"
3,Offered,3004,,,"55Ξ ($143,068)","Aug 01, 2021"
4,Offered,3004,,,"45Ξ ($109,998)","Jul 31, 2021"
5,Offered,3004,,,"41.20Ξ ($101,656)","Jul 31, 2021"
6,Offered,3004,,,"36.50Ξ ($85,031)","Jul 26, 2021"
7,Offered,3004,,,"41Ξ ($95,429)","Jul 06, 2021"
8,Sold,3004,antagoni…,0x99e0ac,"24.50Ξ ($67,830)","Apr 30, 2021"
9,Bid,3004,0x99e0ac,,"24.50Ξ ($67,830)","Apr 30, 2021"
10,Offered,3004,,,"25.50Ξ ($70,140)","Apr 30, 2021"
11,Offered,3004,,,"25.50Ξ ($69,669)","Apr 30, 2021"
12,Offer Withdrawn,3004,,,,"Apr 30, 2021"
13,Bid Withdrawn,3004,0x7774e9,,"24Ξ ($65,756)","Apr 30, 2021"
14,Offered,3004,,,"26.99Ξ ($75,197)","Apr 30, 2021"
15,Offer Withdrawn,3004,,,,"Apr 30, 2021"
16,Bid,3004,0x7774e9,,"24Ξ ($66,311)","Apr 29, 2021"
17,Offered,3004,,,"28.28Ξ ($74,048)","Apr 28, 2021"
18,Offer Withdrawn,3004,,,,"Apr 28, 2021"
19,Offered,3004,,,"29.29Ξ ($72,503)","Apr 26, 2021"
20,Offer Withdrawn,3004,,,,"Apr 26, 2021"
21,Offered,3004,,,"32.32Ξ ($79,760)","Apr 22, 2021"
22,Offer Withdrawn,3004,,,,"Apr 22, 2021"
23,Bid Withdrawn,3004,0xe3bf86,,"21Ξ ($50,582)","Apr 21, 2021"
24,Bid,3004,0xe3bf86,,"21Ξ ($50,890)","Apr 21, 2021"
25,Offered,3004,,,"23.23Ξ ($55,343)","Apr 21, 2021"
26,Offer Withdrawn,3004,,,,"Apr 21, 2021"
27,Bid Withdrawn,3004,0x449c69,,"23Ξ ($48,015)","Apr 20, 2021"
28,Bid,3004,0x449c69,,"23Ξ ($49,648)","Apr 19, 2021"
29,Bid Withdrawn,3004,0xcf8401,,"21.21Ξ ($46,655)","Apr 18, 2021"
30,Offered,3004,,,"25Ξ ($54,992)","Apr 18, 2021"
31,Offer Withdrawn,3004,,,,"Apr 18, 2021"
32,Bid,3004,0xcf8401,,"21.21Ξ ($46,655)","Apr 18, 2021"
33,Bid,3004,0x449c69,,"20.50Ξ ($46,954)","Apr 18, 2021"
34,Offered,3004,,,"23.23Ξ ($55,800)","Apr 16, 2021"
35,Offer Withdrawn,3004,,,,"Apr 16, 2021"
36,Offered,3004,,,"24.75Ξ ($59,146)","Apr 14, 2021"
37,Offer Withdrawn,3004,,,,"Apr 14, 2021"
38,Offered,3004,,,"27.50Ξ ($61,988)","Apr 13, 2021"
39,Offered,3004,,,"37.50Ξ ($80,504)","Apr 11, 2021"
40,Offer Withdrawn,3004,,,,"Apr 11, 2021"
41,Offered,3004,,,"39Ξ ($83,724)","Apr 11, 2021"
42,Offered,3004,,,"45Ξ ($97,411)","Apr 10, 2021"
43,Bid Withdrawn,3004,wookie.e…,,"16.25Ξ ($30,114)","Mar 30, 2021"
44,Sold,3004,0xa3cb30,antagoni…,"19.50Ξ ($36,136)","Mar 30, 2021"
45,Bid,3004,wookie.e…,,"16.25Ξ ($30,114)","Mar 30, 2021"
46,Bid,3004,pablopun…,,"16.10Ξ ($29,836)","Mar 30, 2021"
47,Bid,3004,wookie.e…,,"16Ξ ($29,650)","Mar 30, 2021"
48,Offered,3004,,,"19.50Ξ ($36,136)","Mar 30, 2021"
49,Bid,3004,pablopun…,,"15.50Ξ ($28,724)","Mar 30, 2021"
50,Bid,3004,wookie.e…,,"15.30Ξ ($28,206)","Mar 30, 2021"
51,Bid,3004,0xbff231,,"15Ξ ($27,653)","Mar 30, 2021"
52,Bid,3004,0x62bdc6,,"14.10Ξ ($25,994)","Mar 30, 2021"
53,Bid,3004,pablopun…,,"13Ξ ($23,966)","Mar 30, 2021"
54,Transfer,3004,0x00bd9f,0xa3cb30,,"Mar 07, 2018"
55,Claimed,3004,,0x00bd9f,,"Jun 23, 2017"
0,Bid Withdrawn,3005,0x0d9080,,"25Ξ ($67,590)","Aug 04, 2021"
1,Bid,3005,0x0d9080,,"25Ξ ($64,648)","Aug 02, 2021"
2,Transfer,3005,0xf1ad94,0x032057,,"Jul 22, 2021"
3,Bid,3005,0x7760e0,,0.21Ξ ($60),"Jul 02, 2017"
4,Bid,3005,0x6611fe,,0.21Ξ ($60),"Jul 02, 2017"
5,Bid,3005,0x7760e0,,0.20Ξ ($57),"Jul 02, 2017"
6,Bid,3005,0x6611fe,,0.20Ξ ($57),"Jul 02, 2017"
7,Bid,3005,0x7760e0,,0.10Ξ ($28),"Jul 02, 2017"
8,Bid,3005,0x6611fe,,0.10Ξ ($28),"Jul 02, 2017"
9,Bid,3005,0x717403,,0.05Ξ ($13),"Jun 26, 2017"
10,Claimed,3005,,0xf1ad94,,"Jun 23, 2017"
0,Transfer,3006,0x207355,0x4084df,,"May 07, 2021"
1,Claimed,3006,,0x207355,,"Jun 23, 2017"
