,Type,Punk,From,To,Amount,Txn
0,Sold,5000,0xa9bfa9,0x717403,0.30Ξ ($67),"Aug 03, 2017"
1,Bid,5000,0x717403,,0.30Ξ ($80),"Jul 05, 2017"
2,Bid,5000,0xa0a59c,,0.30Ξ ($81),"Jul 04, 2017"
3,Bid Withdrawn,5000,0x717403,,0.06Ξ ($16),"Jul 04, 2017"
4,Bid,5000,0x717403,,0.06Ξ ($15),"Jun 26, 2017"
5,Bid,5000,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017"
6,Claimed,5000,,0xa9bfa9,,"Jun 23, 2017"
0,Transfer,5001,0x0601d0,0x31a5ff,,"Aug 07, 2021"
1,Transfer,5001,0x7e5280,0x0601d0,,"Jun 05, 2019"
2,Transfer,5001,0xd27e3f,0x7e5280,,"Oct 04, 2017"
3,Bid Withdrawn,5001,0xc352b5,,0.50Ξ ($150),"Sep 10, 2017"
4,Sold,5001,Zieg,0xd27e3f,1.20Ξ ($247),"Jul 29, 2017"
5,Offered,5001,,,1.20Ξ ($247),"Jul 29, 2017"
6,Offered,5001,,,1.90Ξ ($387),"Jul 25, 2017"
7,Bid,5001,0xc352b5,,0.50Ξ ($108),"Jul 21, 2017"
8,Offered,5001,,,1.60Ξ ($362),"Jul 20, 2017"
9,Offer Withdrawn,5001,,,,"Jul 19, 2017"
10,Offered,5001,,,1.90Ξ ($431),"Jul 18, 2017"
11,Bid,5001,0x717403,,0.05Ξ ($13),"Jun 26, 2017"
12,Claimed,5001,,Zieg,,"Jun 23, 2017"
0,Transfer,5002,0xd0d05e,0x18e804,,"Jul 17, 2021"
1,Sold,5002,FunBum69,0xd0d05e,"205Ξ ($382,579)","Jul 17, 2021"
2,Bid,5002,0xd0d05e,,"205Ξ ($382,579)","Jul 17, 2021"
3,Bid Withdrawn,5002,0xd0d05e,,"204Ξ ($380,713)","Jul 17, 2021"
4,Offered,5002,,,"215Ξ ($400,723)","Jul 17, 2021"
5,Bid,5002,0xd0d05e,,"204Ξ ($381,717)","Jul 17, 2021"
