,Type,Punk,From,To,Amount,Txn
0,Transfer,7000,higa.eth,0xc26012,,"Jun 11, 2021"
1,Sold,7000,0xb6e523,higa.eth,"17Ξ ($43,165)","May 25, 2021"
2,Offered,7000,,,"17Ξ ($43,253)","May 25, 2021"
3,Sold,7000,0x65ba4f,0xb6e523,"14.40Ξ ($27,310)","Feb 18, 2021"
4,Offered,7000,,,"14.40Ξ ($26,498)","Feb 18, 2021"
5,Sold,7000,0xca8fe4,0x65ba4f,"7.20Ξ ($12,572)","Feb 09, 2021"
6,Offered,7000,,,"7.20Ξ ($12,572)","Feb 09, 2021"
7,Transfer,7000,0x00bd9f,0xca8fe4,,"Mar 08, 2018"
8,Transfer,7000,0xca8fe4,0x00bd9f,,"Jun 25, 2017"
9,Transfer,7000,0x00bd9f,0xca8fe4,,"Jun 25, 2017"
10,Claimed,7000,,0x00bd9f,,"Jun 23, 2017"
0,Bid Withdrawn,7001,0x0a4eaf…,,0.31Ξ ($99),"Sep 05, 2017"
1,Bid,7001,0x0a4eaf…,,0.31Ξ ($63),"Jul 26, 2017"
2,Sold,7001,0xcbd482,0x717403,0.05Ξ ($14),"Jun 27, 2017"
3,Bid,7001,0x717403,,0.05Ξ ($13),"Jun 26, 2017"
4,Claimed,7001,,0xcbd482,,"Jun 23, 2017"
0,Transfer,7002,Wilcox,wilcox.e…,,"Apr 25, 2021"
1,Transfer,7002,0x00d7c9,Wilcox,,"Sep 14, 2019"
2,Offered,7002,,,0.75Ξ ($230),"Jul 07, 2019"
3,Claimed,7002,,0x00d7c9,,"Jun 23, 2017"
0,Offer Withdrawn,7003,,,,"Aug 23, 2021"
1,Offered,7003,,,"150Ξ ($415,830)","Aug 06, 2021"
2,Offered,7003,,,"147.70Ξ ($409,454)","Aug 06, 2021"
3,Offered,7003,,,"144Ξ ($399,197)","Aug 06, 2021"
4,Offered,7003,,,"136Ξ ($375,682)","Aug 06, 2021"
5,Offered,7003,,,"133Ξ ($367,395)","Aug 06, 2021"
6,Offered,7003,,,"128Ξ ($353,583)","Aug 06, 2021"
7,Offered,7003,,,"123Ξ ($346,694)","Aug 05, 2021"
8,Offered,7003,,,"119.90Ξ ($336,034)","Aug 05, 2021"
9,Offered,7003,,,"117.70Ξ ($329,868)","Aug 05, 2021"
10,Offered,7003,,,"115Ξ ($322,301)","Aug 05, 2021"
11,Offered,7003,,,"110Ξ ($308,288)","Aug 05, 2021"
12,Offered,7003,,,"108Ξ ($302,683)","Aug 05, 2021"
13,Bid Withdrawn,7003,beautifu…,,"32Ξ ($79,739)","Aug 04, 2021"
14,Bid,7003,beautifu…,,"32Ξ ($80,416)","Aug 04, 2021"
15,Offered,7003,,,"103.50Ξ ($260,097)","Aug 04, 2021"
16,Offered,7003,,,"101.80Ξ ($255,824)","Aug 04, 2021"
17,Offered,7003,,,"100Ξ ($255,034)","Aug 03, 2021"
18,Offered,7003,,,"97.50Ξ ($247,772)","Aug 02, 2021"
19,Offered,7003,,,"96.96Ξ ($246,400)","Aug 02, 2021"
20,Offered,7003,,,"95.50Ξ ($237,657)","Jul 31, 2021"
21,Offered,7003,,,"94Ξ ($227,556)","Jul 30, 2021"
22,Offered,7003,,,"93.11Ξ ($225,402)","Jul 30, 2021"
23,Offered,7003,,,"92.11Ξ ($222,981)","Jul 30, 2021"
24,Offered,7003,,,"91.11Ξ ($220,817)","Jul 30, 2021"
25,Offered,7003,,,"90Ξ ($171,698)","Jul 17, 2021"
26,Offered,7003,,,"88.88Ξ ($190,989)","Jul 12, 2021"
27,Offered,7003,,,"87.50Ξ ($172,412)","Jun 23, 2021"
28,Offered,7003,,,"87Ξ ($219,298)","Jun 10, 2021"
29,Offered,7003,,,"85.85Ξ ($257,273)","May 03, 2021"
30,Offered,7003,,,"83Ξ ($248,732)","May 03, 2021"
31,Offered,7003,,,"81.60Ξ ($240,531)","May 02, 2021"
32,Offered,7003,,,"80.25Ξ ($217,284)","Apr 29, 2021"
33,Offered,7003,,,"79Ξ ($213,900)","Apr 29, 2021"
34,Bid Withdrawn,7003,wookie.e…,,0.01Ξ ($32),"Apr 27, 2021"
35,Bid,7003,wookie.e…,,0.01Ξ ($30),"Apr 26, 2021"
36,Bid Withdrawn,7003,kevallin…,,"1.70Ξ ($3,969)","Apr 23, 2021"
37,Offered,7003,,,"76.70Ξ ($182,528)","Apr 23, 2021"
38,Bid,7003,kevallin…,,"1.70Ξ ($4,038)","Apr 23, 2021"
39,Offered,7003,,,"75Ξ ($175,759)","Apr 23, 2021"
40,Offered,7003,,,"64Ξ ($141,392)","Apr 23, 2021"
41,Offered,7003,,,"63Ξ ($139,183)","Apr 23, 2021"
42,Offered,7003,,,"61.80Ξ ($136,532)","Apr 23, 2021"
43,Bid Withdrawn,7003,wookie.e…,,"0.67Ξ ($1,685)","Apr 22, 2021"
44,Offered,7003,,,"59.99Ξ ($146,232)","Apr 22, 2021"
45,Offered,7003,,,"57Ξ ($138,944)","Apr 22, 2021"
46,Bid,7003,wookie.e…,,"0.67Ξ ($1,560)","Apr 20, 2021"
47,Offered,7003,,,"55.55Ξ ($117,452)","Apr 20, 2021"
48,Bid,7003,wookie.e…,,0.42Ξ ($889),"Apr 20, 2021"
49,Bid Withdrawn,7003,wookie.e…,,"4.20Ξ ($8,880)","Apr 20, 2021"
50,Offered,7003,,,"54.20Ξ ($114,597)","Apr 20, 2021"
51,Bid,7003,wookie.e…,,"4.20Ξ ($8,880)","Apr 20, 2021"
52,Offered,7003,,,"50Ξ ($105,717)","Apr 20, 2021"
53,Offered,7003,,,"49.40Ξ ($104,448)","Apr 20, 2021"
54,Offered,7003,,,"48Ξ ($108,923)","Apr 19, 2021"
55,Offered,7003,,,"46.50Ξ ($105,519)","Apr 19, 2021"
56,Offered,7003,,,"45Ξ ($113,500)","Apr 16, 2021"
57,Offered,7003,,,"42.75Ξ ($107,825)","Apr 16, 2021"
58,Offered,7003,,,"41Ξ ($98,888)","Apr 14, 2021"
59,Offered,7003,,,"38.75Ξ ($88,435)","Apr 13, 2021"
60,Offered,7003,,,"37.25Ξ ($79,722)","Apr 13, 2021"
61,Offered,7003,,,"35.50Ξ ($75,334)","Apr 12, 2021"
62,Offered,7003,,,"30.50Ξ ($64,723)","Apr 12, 2021"
63,Sold,7003,moonbear…,0xf4b4a5,"22.40Ξ ($47,535)","Apr 12, 2021"
64,Bid Withdrawn,7003,wookie.e…,,"19.50Ξ ($35,061)","Mar 16, 2021"
65,Bid,7003,wookie.e…,,"19.50Ξ ($34,553)","Mar 16, 2021"
66,Bid,7003,wookie.e…,,"18Ξ ($32,566)","Mar 16, 2021"
67,Offered,7003,,,"22.40Ξ ($33,009)","Mar 05, 2021"
68,Offer Withdrawn,7003,,,,"Mar 05, 2021"
69,Offered,7003,,,"24Ξ ($38,198)","Feb 25, 2021"
70,Offer Withdrawn,7003,,,,"Feb 25, 2021"
71,Offered,7003,,,"23Ξ ($36,551)","Feb 24, 2021"
72,Sold,7003,Michel_M…,moonbear…,"21.25Ξ ($33,169)","Feb 24, 2021"
73,Offered,7003,,,"21.25Ξ ($33,169)","Feb 24, 2021"
74,Offered,7003,,,"29.20Ξ ($52,075)","Feb 22, 2021"
75,Offer Withdrawn,7003,,,,"Feb 22, 2021"
76,Offered,7003,,,"23.50Ξ ($45,915)","Feb 21, 2021"
77,Offer Withdrawn,7003,,,,"Feb 17, 2021"
78,Bid Withdrawn,7003,0x12c9c4,,"4.20Ξ ($7,479)","Feb 15, 2021"
79,Offered,7003,,,"25Ξ ($45,552)","Feb 15, 2021"
80,Transfer,7003,0x86f161,Michel_M…,,"Feb 13, 2021"
81,Transfer,7003,0xc9ab58,0x86f161,,"Feb 11, 2021"
82,Bid,7003,0x12c9c4,,"4.20Ξ ($7,345)","Feb 08, 2021"
83,Offer Withdrawn,7003,,,,"Feb 07, 2021"
84,Offered,7003,,,"15Ξ ($25,436)","Feb 06, 2021"
85,Transfer,7003,Michel_M…,0xc9ab58,,"Feb 04, 2021"
86,Offer Withdrawn,7003,,,,"Feb 03, 2021"
87,Offered,7003,,,"5.29Ξ ($8,254)","Feb 03, 2021"
88,Transfer,7003,0x5d1226,Michel_M…,,"Feb 02, 2021"
89,Offer Withdrawn,7003,,,,"Feb 01, 2021"
90,Offered,7003,,,"15Ξ ($20,656)","Jan 30, 2021"
91,Offer Withdrawn,7003,,,,"Jan 28, 2021"
92,Offered,7003,,,"4.79Ξ ($6,148)","Jan 28, 2021"
93,Sold,7003,0x033ee7,0x5d1226,"4.31Ξ ($5,787)","Jan 27, 2021"
94,Bid Withdrawn,7003,Collin3,,"2.40Ξ ($3,355)","Jan 25, 2021"
95,Bid,7003,Collin3,,"2.40Ξ ($3,416)","Jan 25, 2021"
96,Bid Withdrawn,7003,Collin3,,"2.15Ξ ($3,060)","Jan 25, 2021"
97,Bid,7003,Collin3,,"2.15Ξ ($3,091)","Jan 25, 2021"
98,Offered,7003,,,"4.31Ξ ($6,245)","Jan 25, 2021"
99,Sold,7003,0xe4c479,0x033ee7,"2.90Ξ ($1,031)","Sep 26, 2020"
100,Offered,7003,,,"2.90Ξ ($1,023)","Sep 26, 2020"
101,(Unwrap),7003,WrappedC…,0xe4c479,,"Sep 26, 2020"
102,(Wrap),7003,0xd306a0,WrappedC…,,"Sep 26, 2020"
103,Transfer,7003,0xe4c479,0xd306a0,,"Sep 26, 2020"
104,Offered,7003,,,"3Ξ ($1,054)","Sep 24, 2020"
105,(Unwrap),7003,WrappedC…,0xe4c479,,"Sep 24, 2020"
106,Sold,7003,Hemba,0xe4c479,"2.75Ξ ($1,046)","Sep 20, 2020"
107,(Wrap),7003,0x193847,WrappedC…,,"Sep 16, 2020"
108,Transfer,7003,Hemba,0x193847,,"Sep 16, 2020"
109,Claimed,7003,,Hemba,,"Jun 23, 2017"
0,Transfer,7004,0x207355,0x4084df,,"May 08, 2021"
1,Claimed,7004,,0x207355,,"Jun 23, 2017"
0,Sold,7005,0x4db1dd,0xe78de3,"21.99Ξ ($39,545)","Mar 21, 2021"
1,Offered,7005,,,"21.99Ξ ($40,379)","Mar 20, 2021"
2,Offered,7005,,,"24.99Ξ ($45,251)","Mar 19, 2021"
3,Sold,7005,gaus,0x4db1dd,"21Ξ ($30,946)","Mar 05, 2021"
4,Offered,7005,,,"21Ξ ($30,946)","Mar 05, 2021"
5,(Unwrap),7005,WrappedC…,gaus,,"Mar 05, 2021"
6,(Wrap),7005,0x16a524,WrappedC…,,"Feb 25, 2021"
7,Transfer,7005,0x22fa8c,0x16a524,,"Feb 25, 2021"
8,Sold,7005,0x12c9c4,0x22fa8c,"22.99Ξ ($39,876)","Feb 22, 2021"
9,Offered,7005,,,"22.99Ξ ($39,270)","Feb 22, 2021"
10,Sold,7005,0x241ec7,0x12c9c4,"21Ξ ($35,871)","Feb 22, 2021"
11,Offered,7005,,,"21Ξ ($38,409)","Feb 22, 2021"
12,Offer Withdrawn,7005,,,,"Feb 21, 2021"
13,Offered,7005,,,"19.45Ξ ($37,081)","Feb 21, 2021"
14,Offered,7005,,,"29.45Ξ ($56,146)","Feb 21, 2021"
15,Offered,7005,,,"19.90Ξ ($37,939)","Feb 21, 2021"
16,Offered,7005,,,"24.90Ξ ($48,471)","Feb 21, 2021"
17,Offered,7005,,,"14.60Ξ ($27,043)","Feb 17, 2021"
18,Offered,7005,,,"12.30Ξ ($22,558)","Feb 17, 2021"
19,Offered,7005,,,"11Ξ ($19,138)","Feb 17, 2021"
20,Sold,7005,0x3e17fa,0x241ec7,"8.50Ξ ($15,106)","Feb 17, 2021"
21,Bid Withdrawn,7005,0x07c5ea,,"7.50Ξ ($13,256)","Feb 16, 2021"
22,Bid,7005,0x07c5ea,,"7.50Ξ ($13,011)","Feb 16, 2021"
23,Offered,7005,,,"8.50Ξ ($15,327)","Feb 16, 2021"
24,Offered,7005,,,"9.20Ξ ($15,728)","Feb 15, 2021"
25,Offered,7005,,,"18Ξ ($19,675)","Jan 05, 2021"
26,Offered,7005,,,"7Ξ ($4,358)","Dec 23, 2020"
27,Offered,7005,,,"5.50Ξ ($3,448)","Dec 01, 2020"
28,Offered,7005,,,"3.50Ξ ($1,614)","Nov 13, 2020"
29,Sold,7005,Pranksy,MrNFT,2.75Ξ ($948),"Sep 25, 2020"
30,Sold,7005,MrNFT,0x3e17fa,"2.98Ξ ($1,028)","Sep 25, 2020"
31,Offered,7005,,,"2.98Ξ ($1,028)","Sep 25, 2020"
32,(Unwrap),7005,WrappedC…,MrNFT,,"Sep 25, 2020"
33,Sold,7005,0x5aaeb9,Pranksy,2.29Ξ ($792),"Sep 24, 2020"
34,Sold,7005,Pranksy,0x5aaeb9,2.19Ξ ($757),"Sep 24, 2020"
35,Sold,7005,Hemba,Pranksy,1.80Ξ ($613),"Sep 22, 2020"
36,(Wrap),7005,0x193847,WrappedC…,,"Sep 16, 2020"
37,Transfer,7005,Hemba,0x193847,,"Sep 16, 2020"
38,Claimed,7005,,Hemba,,"Jun 23, 2017"
0,Offered,7006,,,"200Ξ ($777,342)","Sep 05, 2021"
1,Offer Withdrawn,7006,,,,"Aug 29, 2021"
2,Offer Withdrawn,7006,,,,"Aug 29, 2021"
3,Offered,7006,,,"195Ξ ($633,994)","Aug 28, 2021"
4,Offered,7006,,,"150Ξ ($481,797)","Aug 25, 2021"
5,Offered,7006,,,"99Ξ ($330,834)","Aug 23, 2021"
6,Offered,7006,,,"95Ξ ($264,789)","Aug 06, 2021"
7,Offered,7006,,,"100Ξ ($276,171)","Aug 06, 2021"
8,Offered,7006,,,"80Ξ ($204,027)","Aug 03, 2021"
