,rarity_rank,tipus,skin,traits,owner
0,2023,Female,Mid-skinned,"Blonde Bob, Earring, Green Eye Shadow, Hidden Earring",0xE08c32
1,4352,Male,Dark-skinned,"Mohawk, Smile",0xB88F61
2,8090,Female,Light-skinned,Wild Hair,0x897aEA
3,7896,Male,Dark-skinned,"Nerd Glasses, Pipe, Wild Hair",0xC352B5
4,7332,Male,Mid-skinned,"Big Shades, Earring, Goat, Wild Hair",0xC352B5
5,1960,Female,Mid-skinned,"Earring, Half Shaved, Purple Eye Shadow, Hidden Earring",Opensea
6,7425,Male,Mid-skinned,Do-rag,0xC352B5
7,866,Female,Mid-skinned,"Clown Eyes Blue, Spots, Wild White Hair",0xC352B5
8,6530,Male,Dark-skinned,"Luxurious Beard, Messy Hair",0xC352B5
9,1761,Male,Mid-skinned,"Big Beard, Clown Nose, Police Cap",0xC352B5
10,5668,Female,Dark-skinned,"Blue Eye Shadow, Mohawk",0xC352B5
11,2565,Female,Mid-skinned,"Black Lipstick, Clown Eyes Green, Straight Hair Dark",0xC352B5
12,1201,Female,Dark-skinned,"Blonde Short, Purple Lipstick",0xC352B5
13,1657,Female,Light-skinned,"Big Shades, Black Lipstick, Straight Hair Blonde",0xC352B5
14,155,Female,Dark-skinned,"Hot Lipstick, Pilot Helmet, Pipe",0x7C00c9
15,6494,Male,Albino-skinned,"Luxurious Beard, Regular Shades, Wild Hair",0xC352B5
16,8315,Male,Mid-skinned,"Earring, Small Shades, Stringy Hair",0xC352B5
17,5303,Male,Light-skinned,"Frown, Mohawk",0xC352B5
18,4458,Male,Mid-skinned,"Eye Mask, Muttonchops",0xC352B5
19,9915,Female,Dark-skinned,"Bandana, Horned Rim Glasses, Hot Lipstick",0xC352B5
20,8045,Male,Light-skinned,Crazy Hair,0xC352B5
21,9607,Male,Light-skinned,"Classic Shades, Earring, Messy Hair",0xC352B5
22,183,Female,Dark-skinned,"Pilot Helmet, Purple Lipstick",0xC352B5
23,5480,Male,Light-skinned,"Do-rag, Earring, Handlebars",0xC352B5
24,4341,Male,Light-skinned,"Mohawk Dark, Smile",0xC352B5
25,1268,Female,Dark-skinned,Wild White Hair,0xC352B5
26,3027,Female,Mid-skinned,Dark Hair,0xC352B5
27,7831,Male,Light-skinned,"Earring, Peak Spike",0xC352B5
28,8763,Male,Dark-skinned,"Big Shades, Crazy Hair",0xC352B5
29,2297,Female,Mid-skinned,"Earring, Half Shaved, Horned Rim Glasses, Hidden Earring",0xC352B5
30,6777,Male,Dark-skinned,"Cap, Normal Beard Black",0x897aEA
31,8104,Female,Dark-skinned,Stringy Hair,0xC352B5
32,4393,Male,Light-skinned,"Frown, VR",0xd6a984
33,7635,Male,Light-skinned,Peak Spike,0x6611fE
34,9448,Female,Light-skinned,"Frumpy Hair, Purple Lipstick",0xC352B5
35,3351,Male,Dark-skinned,"Cigarette, Earring, Horned Rim Glasses, Normal Beard, Peak Spike",0xC352B5
36,2165,Female,Mid-skinned,Red Mohawk,0xC352B5
37,8136,Female,Dark-skinned,"Cap, Clown Eyes Blue",0xC352B5
38,9353,Female,Light-skinned,"Classic Shades, Frumpy Hair, Purple Lipstick",0xC352B5
39,5226,Male,Light-skinned,"Frown, Regular Shades, Shaved Head",Opensea
40,4247,Male,Light-skinned,"Bandana, Chinstrap, Smile",0xC352B5
41,7666,Male,Dark-skinned,"Clown Eyes Green, Muttonchops, Wild Hair",0xC352B5
42,9586,Female,Dark-skinned,"Cigarette, Wild Hair",0xC352B5
43,2166,Female,Mid-skinned,Half Shaved,0xC352B5
44,8099,Male,Light-skinned,Messy Hair,0xC352B5
45,4576,Male,Mid-skinned,"Earring, Mole",0xC352B5
46,2684,Female,Mid-skinned,"Purple Lipstick, Straight Hair Dark",0xC352B5
47,8051,Male,Dark-skinned,Knitted Cap,0xC352B5
48,9206,Male,Light-skinned,"Big Shades, Mohawk",0xC352B5
49,5447,Female,Dark-skinned,"Bandana, Purple Eye Shadow",Opensea
50,902,Male,Mid-skinned,"Fedora, Spots",0xC352B5
51,7731,Male,Mid-skinned,"Earring, Muttonchops, Wild Hair",Opensea
52,8864,Male,Dark-skinned,"Earring, Knitted Cap, Nerd Glasses, Shadow Beard",0xC352B5
53,2825,Female,Light-skinned,"Big Shades, Straight Hair",0xe20388
54,4934,Male,Dark-skinned,Hoodie,0xC352B5
55,4502,Male,Light-skinned,Eye Patch,0xC352B5
56,7421,Male,Dark-skinned,Shaved Head,0xC352B5
57,8037,Male,Light-skinned,Headband,0xC352B5
58,4876,Male,Mid-skinned,"Hoodie, Normal Beard Black",0x897aEA
59,1420,Male,Albino-skinned,"Cowboy Hat, Muttonchops",0xC352B5
60,9849,Female,Light-skinned,"Purple Lipstick, Stringy Hair",Opensea
61,3026,Female,Light-skinned,Dark Hair,0xC352B5
62,8506,Female,Dark-skinned,"Clown Eyes Blue, Earring, Hot Lipstick, Mohawk Dark",0xC352B5
63,7434,Male,Dark-skinned,"Earring, Shaved Head, Small Shades",Opensea
64,1719,Female,Mid-skinned,"Purple Lipstick, Straight Hair Blonde",0xC352B5
65,7127,Female,Mid-skinned,"Eye Mask, Headband",0xC352B5
66,3656,Female,Dark-skinned,Tassle Hat,0xC352B5
67,2067,Female,Dark-skinned,"3D Glasses, Half Shaved, Purple Lipstick",0xC352B5
68,7570,Male,Dark-skinned,"Do-rag, Nerd Glasses",Opensea
69,3818,Male,Mid-skinned,"Fedora, Normal Beard Black",Opensea
70,8742,Female,Mid-skinned,"Cigarette, Crazy Hair, Earring, Regular Shades",0xC352B5
71,2011,Female,Light-skinned,"Green Eye Shadow, Half Shaved, Purple Lipstick",0xC352B5
72,3825,Male,Dark-skinned,"Earring, Fedora, Nerd Glasses, Normal Beard",0xC352B5
73,9952,Female,Mid-skinned,"Bandana, Black Lipstick, Earring",0xC352B5
74,8981,Male,Dark-skinned,"Earring, Mohawk Dark, Shadow Beard",Opensea
75,8839,Male,Light-skinned,"Eye Patch, Knitted Cap, Shadow Beard",0xC352B5
76,7590,Male,Light-skinned,"Cigarette, Do-rag",0xC352B5
77,5613,Male,Dark-skinned,"Handlebars, Stringy Hair",0xC352B5
78,5546,Male,Mid-skinned,"Eye Patch, Handlebars, Knitted Cap",Opensea
79,7010,Male,Dark-skinned,"Mohawk Dark, Normal Beard",Opensea
80,6696,Male,Albino-skinned,"Mustache, Wild Hair",0xC352B5
81,8251,Male,Light-skinned,"Headband, Small Shades",0xC352B5
82,8033,Male,Albino-skinned,Headband,0xC352B5
83,5861,Male,Light-skinned,"Shaved Head, Small Shades, Vape",0xC352B5
84,9656,Male,Light-skinned,"Big Shades, Earring, Messy Hair",Opensea
85,8042,Female,Dark-skinned,Crazy Hair,0xC352B5
86,5751,Female,Dark-skinned,"Earring, Green Eye Shadow, Hot Lipstick, Knitted Cap",0xC352B5
87,4998,Male,Light-skinned,"Earring, Hoodie, Hidden Earring",0xC352B5
88,8231,Female,Light-skinned,"Cap, Hot Lipstick",0xC352B5
89,125,Female,Dark-skinned,Choker,0x78f026
90,4954,Male,Mid-skinned,"Eye Patch, Hoodie",0xC352B5
91,2730,Female,Light-skinned,"Clown Nose, Straight Hair",0xC352B5
92,729,Female,Light-skinned,"Nerd Glasses, Pink With Hat, Purple Lipstick",0xC352B5
93,8114,Female,Light-skinned,Bandana,0xC352B5
94,720,Female,Dark-skinned,"Earring, Pink With Hat, Regular Shades, Hidden Earring",0xC352B5
95,9339,Male,Mid-skinned,"Earring, Mohawk",Opensea
96,2161,Female,Light-skinned,Blonde Bob,0xC352B5
97,8093,Male,Mid-skinned,Wild Hair,0xC352B5
98,436,Female,Light-skinned,"Black Lipstick, Dark Hair, Welding Goggles",0xC352B5
99,4997,Male,Mid-skinned,"Cigarette, Hoodie",0xC352B5
100,3658,Female,Mid-skinned,Tassle Hat,0xC352B5
101,4069,Male,Mid-skinned,"Nerd Glasses, Police Cap",0xC352B5
102,2078,Male,Mid-skinned,"Luxurious Beard, Vampire Hair",0xB88F61
103,2005,Female,Dark-skinned,"Black Lipstick, Blonde Bob, Green Eye Shadow",0x89621B
104,6805,Male,Dark-skinned,"Crazy Hair, Earring, Eye Patch, Normal Beard Black",0xC352B5
105,8074,Male,Light-skinned,Mohawk Thin,0xC352B5
106,1589,Female,Light-skinned,Straight Hair Blonde,0xC352B5
107,8039,Male,Mid-skinned,Headband,0xC352B5
108,8682,Female,Light-skinned,"Black Lipstick, Headband",0xd0C877
109,3778,Male,Dark-skinned,"Earring, Fedora, Handlebars",0xeEE5Eb
110,9046,Female,Dark-skinned,"Cigarette, Earring, Mohawk Dark, Purple Lipstick",0xC352B5
111,5551,Male,Dark-skinned,"Handlebars, Knitted Cap",0x2Debdf
112,1877,Male,Mid-skinned,"Bandana, Big Beard, Earring, Horned Rim Glasses",0xC352B5
113,8066,Male,Albino-skinned,Mohawk,0xC352B5
114,2158,Female,Dark-skinned,Red Mohawk,0xC352B5
115,2421,Female,Dark-skinned,"Earring, Half Shaved, Hidden Earring",0xC352B5
116,220,Female,Dark-skinned,"Black Lipstick, Clown Eyes Blue, Earring, Tiara",0x9Ef55a
117,504,Zombie,Zombie-skinned,"Front Beard Dark, Messy Hair",0xC352B5
118,9954,Female,Light-skinned,"Bandana, Black Lipstick",0x9179de
119,8245,Male,Mid-skinned,"Cap, Earring",0xB88F61
120,3703,Female,Mid-skinned,"Big Shades, Tassle Hat",0xC352B5
121,243,Female,Light-skinned,"Purple Lipstick, Tiara",0xC352B5
122,9323,Male,Light-skinned,"Cigarette, Mohawk",0x78e96B
123,868,Female,Mid-skinned,"Spots, Wild White Hair",0xC352B5
124,6760,Male,Mid-skinned,"Earring, Normal Beard Black, Peak Spike",0xEDd776
125,3693,Female,Light-skinned,"Big Shades, Purple Lipstick, Tassle Hat",0xC352B5
126,8605,Male,Albino-skinned,"Cigarette, Earring, Eye Patch, Headband",0xC352B5
127,8453,Female,Mid-skinned,"Clown Eyes Green, Stringy Hair",0x4d8E16
128,3938,Male,Light-skinned,"Chinstrap, Mole, Police Cap, Vape, Hidden Mole",0xC352B5
129,3389,Male,Light-skinned,"Cap Forward, Cigarette, Gold Chain, Horned Rim Glasses",0xC352B5
130,8075,Male,Light-skinned,Mohawk,0xC352B5
131,2694,Female,Mid-skinned,"Hot Lipstick, Straight Hair Dark",0xC352B5
132,8070,Male,Dark-skinned,Mohawk Thin,0xC352B5
133,3149,Male,Albino-skinned,"Chinstrap, Pipe, Purple Hair",0xC352B5
134,4021,Male,Mid-skinned,Police Cap,0xC352B5
135,4708,Male,Light-skinned,Cap Forward,0xC352B5
136,7444,Male,Dark-skinned,"Clown Eyes Green, Shadow Beard, Shaved Head",0xB88F61
137,8097,Male,Dark-skinned,Messy Hair,0xC352B5
138,9806,Male,Light-skinned,"Horned Rim Glasses, Stringy Hair",0xD049b3
139,7470,Male,Mid-skinned,"Do-rag, Eye Patch",0x7C0830
140,4532,Female,Dark-skinned,Hot Lipstick,0xC352B5
141,6115,Male,Dark-skinned,"3D Glasses, Chinstrap, Headband",0x78E6Fe
142,9168,Male,Light-skinned,"Mohawk, Regular Shades",0xB88F61
143,91,Male,Light-skinned,"Beanie, Horned Rim Glasses",0x9Cb8C1
144,6479,Male,Dark-skinned,"Cigarette, Frumpy Hair, Luxurious Beard",0xB88F61
145,8091,Male,Light-skinned,Wild Hair,0xC352B5
146,9335,Male,Light-skinned,"Earring, Mohawk",0xB88F61
147,9158,Male,Albino-skinned,"Mohawk Thin, Regular Shades",0xB88F61
148,4935,Male,Mid-skinned,Hoodie,0xC352B5
149,6522,Male,Light-skinned,"Big Shades, Luxurious Beard, Messy Hair",0xB88F61
150,4578,Female,Mid-skinned,"Earring, Purple Lipstick",0xFeEb2d
151,8015,Male,Mid-skinned,"Stringy Hair, VR",0xB88F61
152,8371,Male,Light-skinned,"Clown Eyes Green, Mohawk Dark",0xB88F61
153,7120,Male,Mid-skinned,"Cap, Earring, Eye Mask",0xB88F61
154,4969,Male,Dark-skinned,"Earring, Hoodie, Shadow Beard, Hidden Earring",0xC352B5
155,2455,Male,Dark-skinned,"Clown Hair Green, Clown Nose",0xca5E7f
156,4715,Male,Dark-skinned,"Cap Forward, Small Shades",0xB88F61
157,8237,Male,Mid-skinned,"Cap, Cigarette",0xB88F61
158,7330,Male,Light-skinned,"Goat, Regular Shades, Wild Hair",0xB88F61
159,9873,Male,Light-skinned,"Earring, Stringy Hair",0xB88F61
160,612,Female,Mid-skinned,"Clown Eyes Blue, Pigtails, Purple Lipstick",0x565496
161,9452,Female,Dark-skinned,"Frumpy Hair, Hot Lipstick",0x88bC3E
162,6860,Male,Mid-skinned,"Frumpy Hair, Horned Rim Glasses, Normal Beard Black",0xB88F61
163,7466,Male,Dark-skinned,"Eye Patch, Shaved Head",0xB88F61
164,8014,Female,Mid-skinned,"Stringy Hair, VR",0xC352B5
165,5111,Male,Mid-skinned,"Cigarette, Front Beard Dark, Mohawk Dark",0xB88F61
