,etherscan,opensea,owned,ethereums_spent,dollar_spent,ethereums_earned,dollar_earned,First_punk,Last_punk
0,0xc352b5,0,430,29.19,103327.0,2200.0,7770000.0,"Jun 23, 2017","May 14, 2020"
1,0xb7f7f6,1,308,0.0,0.0,0.0,0.0,"Sep 15, 2020","Aug 24, 2021"
2,0xa25803,0,254,0.0,0.0,1690.0,6000000.0,"Apr 25, 2021","Apr 25, 2021"
3,0xb88f61,0,215,0.0,0.0,0.0,0.0,"Nov 30, 2020","May 21, 2021"
4,0x577ebc,0,173,884.51,3130000.0,11620.0,41140000.0,"Jan 30, 2021","May 13, 2021"
5,0x69021a,0,147,0.0,0.0,0.0,0.0,"Apr 25, 2021","Apr 25, 2021"
6,0x26f744,0,141,0.0,0.0,0.0,0.0,"Jun 23, 2017","Jun 23, 2017"
7,0xcc7c33,0,131,132.25,468125.0,3550.0,12550000.0,"Jun 23, 2017","Jul 10, 2017"
8,0xcffc33,0,125,0.0,0.0,367.0,1300000.0,"May 5, 2021","May 5, 2021"
9,0x6f4a2d,0,110,45.92,162543.0,7420.0,26270000.0,"Jun 23, 2017","Feb 26, 2021"
10,0xd79b93,0,102,0.0,0.0,243.3,861209.0,"May 4, 2021","May 5, 2021"
11,0x6611fe,0,102,504.64,1790000.0,12420.0,43950000.0,"Jun 23, 2017","Aug 12, 2021"
12,0x51688c,0,100,0.0,0.0,0.0,0.0,"Jun 1, 2019","May 3, 2020"
13,0x31a5ff,0,98,0.0,0.0,0.0,0.0,"Aug 7, 2021","Aug 8, 2021"
14,0x4084df,0,98,0.0,0.0,0.0,0.0,"May 7, 2021","May 8, 2021"
15,0x062c54,0,93,0.0,0.0,2390.0,8440000.0,"Mar 13, 2021","Mar 23, 2021"
16,0x717403,0,89,13.9,49213.0,0.0,0.0,"Jun 25, 2017","Mar 12, 2021"
17,0xdde8df,1,82,59.91,212079.0,446.26,1580000.0,"Jan 16, 2018","Jul 13, 2021"
18,0x3be89b,0,80,18.8,66546.0,2150.0,7600000.0,"Mar 14, 2021","Jul 11, 2021"
19,0x6301ad,1,75,101.12,357933.0,1220.0,4310000.0,"Jun 23, 2017","Jul 30, 2021"
20,0x7760e0,0,66,18.14,64208.0,0.0,0.0,"Jun 28, 2017","Jul 4, 2018"
21,0x00b278,0,65,51.89,183675.0,3440.0,12180000.0,"Jul 4, 2017","Jul 18, 2017"
22,0xd6a984,0,59,2050.0,7270000.0,0.0,0.0,"May 24, 2021","Aug 14, 2021"
23,0x4d8e16,0,52,0.0,0.0,0.0,0.0,"Mar 19, 2021","Mar 24, 2021"
24,0x4bbb41,0,50,0.0,0.0,0.0,0.0,"Feb 14, 2021","Feb 15, 2021"
25,0xb47a70,0,49,0.0,0.0,139.0,492018.0,"Mar 19, 2021","Mar 19, 2021"
26,0x005734,0,46,0.31,1087.0,0.0,0.0,"Jun 23, 2017","Jun 24, 2017"
27,0x269616,0,44,0.0,0.0,0.0,0.0,none,none
